DHL
4_283,312,506,379
FedEx
2_854,370,999,416
4_283,417,525,477
18_633,696,761,749
Mastercard
0_310,291,510,360
0_455,488,578,640
0_534,239,717,329
0_652,526,831,657
1_278,315,408,391
1_875,493,1012,573
2_524,301,789,469
3_319,200,391,240
3_320,255,393,288
4_538,330,715,442
5_440,299,512,344
6_297,204,370,256
6_373,260,450,311
7_382,231,535,328
8_1121,501,1211,558
9_456,291,577,368
10_295,279,522,425
11_429,260,535,326
12_329,314,429,374
13_293,296,353,332
14_222,337,295,385
15_298,291,365,331
16_345,255,421,303
17_208,320,262,352
Paypal
1_678,331,814,368
1_878,331,1015,368
1_288,645,400,792
3_305,305,415,333
4_847,353,1006,401
4_786,342,835,400
5_263,264,414,312
5_608,304,670,330
7_535,247,713,328
9_661,293,824,362
10_678,326,938,410
10_565,293,667,410
12_246,229,522,311
13_270,206,514,282
14_278,246,484,314
15_200,211,360,257
17_207,216,266,234
UPS
2_277,292,486,543
4_850,441,981,574
Visa
0_207,490,404,639
0_804,547,942,701
0_819,388,913,525
0_1031,545,1215,667
0_814,308,919,358
1_478,327,618,375
3_210,208,285,232
3_207,257,290,288
4_582,486,734,538
5_444,249,514,294
5_525,247,594,292
5_610,248,673,279
6_210,216,296,246
7_215,225,376,328
8_517,881,603,938
9_327,288,447,365
10_1010,271,1306,458
11_328,268,425,333
12_226,314,329,376
13_222,296,283,329
14_302,337,376,372
15_224,291,298,332
16_247,264,331,293
17_201,259,268,301
